epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0552,2.64878,9.47157,0.98603,0.00133,0.18182,0.00091,0.00026,1.89996,5.96401,0.92671,0.00048,0.00048,0.00048
2,68.8666,2.45142,5.35242,0.97021,0.00133,0.18182,0.00109,0.00021,1.90299,6.17025,0.92901,0.000970298,0.000970298,0.000970298
3,100.446,2.56251,5.80154,0.97931,0.00267,0.36364,0.00235,0.00097,1.98445,5.36853,0.91947,0.0014507,0.0014507,0.0014507
4,133.215,2.56274,5.31537,0.96699,0.004,0.54545,0.0043,0.00134,3.13778,5.94391,1.06091,0.00192119,0.00192119,0.00192119
5,165.88,2.7184,5.28894,0.96839,0.50935,0.36364,0.33223,0.08075,2.74885,4.87095,1.06969,0.0019208,0.0019208,0.0019208
6,199.748,2.5244,4.86533,0.92584,0.60548,0.48882,0.42398,0.09926,2.92135,3.94527,1.10155,0.001901,0.001901,0.001901
7,231.6,2.34388,3.97437,0.93082,0.75807,0.45455,0.46232,0.13843,2.80723,3.65937,1.07868,0.0018812,0.0018812,0.0018812
8,263.033,2.42749,3.95367,0.95105,0.75467,0.45455,0.48953,0.20221,2.24944,3.42239,0.96007,0.0018614,0.0018614,0.0018614
9,295.599,2.39787,4.2902,0.91497,0.71423,0.5,0.4834,0.16018,2.21712,3.42407,0.95842,0.0018416,0.0018416,0.0018416
10,328.621,2.24963,3.76659,0.92898,0.66357,0.5,0.44844,0.16191,2.02726,3.44947,0.9267,0.0018218,0.0018218,0.0018218
11,361.349,2.27983,3.64429,0.89235,0.6877,0.54545,0.52298,0.18294,2.1392,3.31504,0.93271,0.001802,0.001802,0.001802
12,392.995,2.23901,3.14402,0.90313,0.81185,0.54545,0.61938,0.19649,2.36548,3.06156,0.97313,0.0017822,0.0017822,0.0017822
13,426.152,2.39242,3.09375,0.95926,0.74678,0.59091,0.62558,0.2448,2.2676,2.89526,0.97259,0.0017624,0.0017624,0.0017624
14,458.17,2.26171,3.02314,0.91205,0.7477,0.67387,0.60174,0.2552,1.95254,2.53203,0.93344,0.0017426,0.0017426,0.0017426
15,491.159,2.27602,3.02577,0.90087,0.83713,0.59091,0.64133,0.24486,1.92909,2.40869,0.93181,0.0017228,0.0017228,0.0017228
16,522.98,2.14584,2.72672,0.91232,0.90466,0.54545,0.63115,0.24627,2.0168,2.55615,0.93724,0.001703,0.001703,0.001703
17,555.755,2.16103,2.70365,0.91364,0.91037,0.54545,0.60293,0.25842,2.18154,2.60715,0.96259,0.0016832,0.0016832,0.0016832
