epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7982,2.55065,9.55429,0.97344,0.003,0.40909,0.00357,0.00108,1.85283,5.52894,0.91996,0.00048,0.00048,0.00048
2,64.1576,2.68971,5.66973,1.04095,0.00267,0.36364,0.00271,0.00062,1.78457,5.67848,0.90045,0.00097903,0.00097903,0.00097903
3,95.5588,2.4765,5.4381,0.95363,0.00467,0.63636,0.00995,0.00422,1.84889,5.11048,0.91337,0.00147707,0.00147707,0.00147707
4,126.501,2.46058,5.05232,0.96573,0.20667,0.04545,0.13643,0.05016,2.11344,4.59785,0.93476,0.00197412,0.00197412,0.00197412
5,158.306,2.60095,5.19358,0.95121,0.75138,0.27498,0.43571,0.10767,2.46989,4.29868,1.01582,0.00199208,0.00199208,0.00199208
6,190.167,2.42898,4.45778,0.90977,0.76604,0.5,0.52893,0.17652,2.88644,3.39614,1.06909,0.0019901,0.0019901,0.0019901
7,221.924,2.23687,3.49326,0.93093,1,0.45351,0.55053,0.26225,2.28449,3.04292,0.98556,0.00198812,0.00198812,0.00198812
8,253.63,2.34753,3.54133,0.94105,0.86233,0.57019,0.67996,0.21969,1.97605,2.77251,0.94098,0.00198614,0.00198614,0.00198614
9,285.414,2.23416,3.73417,0.90808,0.42166,0.45455,0.32742,0.12751,1.93432,3.43127,0.94106,0.00198416,0.00198416,0.00198416
10,316.994,2.22926,3.32302,0.91536,0.78059,0.54545,0.62304,0.25598,1.88399,2.72263,0.94464,0.00198218,0.00198218,0.00198218
11,348.398,2.26631,3.32564,0.88884,0.75388,0.5,0.56096,0.21252,2.05775,2.56851,0.95236,0.0019802,0.0019802,0.0019802
12,379.969,2.09192,2.70919,0.88409,0.79539,0.40909,0.51386,0.25004,2.0722,2.41595,0.93613,0.00197822,0.00197822,0.00197822
13,411.079,2.26115,2.71676,0.93447,0.77406,0.36364,0.47265,0.24188,2.09484,2.30086,0.94076,0.00197624,0.00197624,0.00197624
14,442.62,2.23991,2.76637,0.90112,0.90881,0.54545,0.71284,0.2415,2.07987,2.04406,0.94489,0.00197426,0.00197426,0.00197426
15,474.121,2.26217,2.78712,0.89384,0.73295,0.62426,0.70511,0.37153,1.82539,1.91529,0.91627,0.00197228,0.00197228,0.00197228
16,505.632,2.27335,2.53844,0.91662,0.69774,0.62985,0.66012,0.37874,1.80245,1.90278,0.91001,0.0019703,0.0019703,0.0019703
17,537.419,2.05756,2.36907,0.90064,0.87174,0.61856,0.73704,0.26159,1.99521,1.96241,0.93013,0.00196832,0.00196832,0.00196832
18,569.457,2.15758,2.62379,0.87116,0.8052,0.63636,0.65463,0.22965,2.11957,2.0766,0.93599,0.00196634,0.00196634,0.00196634
19,601.465,2.17382,2.17703,0.91965,0.80681,0.57022,0.66635,0.28854,1.94614,1.90514,0.92298,0.00196436,0.00196436,0.00196436
20,638.981,2.23472,2.29419,0.8811,0.83555,0.54545,0.67246,0.29447,1.94013,1.862,0.92049,0.00196238,0.00196238,0.00196238
21,674.624,2.02781,2.209,0.88958,0.60487,0.55708,0.52777,0.20769,1.97537,2.04453,0.92257,0.0019604,0.0019604,0.0019604
22,710.412,2.05317,2.02051,0.89307,0.67034,0.73981,0.74441,0.29891,1.86215,1.9191,0.91422,0.00195842,0.00195842,0.00195842
23,743.197,1.98471,1.85192,0.90342,0.77268,0.77254,0.79151,0.32515,1.73258,1.71977,0.89932,0.00195644,0.00195644,0.00195644
24,774.994,2.03526,1.89327,0.87976,0.83853,0.59091,0.70031,0.27842,1.93681,1.61896,0.91308,0.00195446,0.00195446,0.00195446
25,806.701,2.18651,2.19622,0.86761,0.87864,0.68182,0.75738,0.26612,2.24076,1.78205,0.94321,0.00195248,0.00195248,0.00195248
